quota_definition__sid,quota__order_number,quota__geographical_areas,quota__headings,quota__commodities,quota__measurement_unit,quota__monetary_unit,quota_definition__description,quota_definition__validity_start_date,quota_definition__validity_end_date,quota_definition__suspension_periods,quota_definition__blocking_periods,quota_definition__status,quota_definition__last_allocation_date,quota_definition__initial_volume,quota_definition__balance,quota_definition__fill_rate
20486,57128,Nicaragua,"6207 – Men's or boys' singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles",6207210000,Number of items (p/st),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,18115,18115,0
21996,57128,Nicaragua,"6207 – Men's or boys' singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles",6207210000,Number of items (p/st),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,18115,18115,0
20487,57129,Nicaragua,"6207 – Men's or boys' singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles",6207220000,Number of items (p/st),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,3814,3814,0
21997,57129,Nicaragua,"6207 – Men's or boys' singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles",6207220000,Number of items (p/st),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,3814,3814,0
20488,57130,Nicaragua,"6207 – Men's or boys' singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles",6207910000,Number of items (p/st),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,30509,30509,0
21998,57130,Nicaragua,"6207 – Men's or boys' singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles",6207910000,Number of items (p/st),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,30509,30509,0
20489,57131,Nicaragua,"6208 – Women's or girls' singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles",6208210000,Number of items (p/st),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,19068,19068,0
21999,57131,Nicaragua,"6208 – Women's or girls' singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles",6208210000,Number of items (p/st),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,19068,19068,0
20490,57132,Nicaragua,"6208 – Women's or girls' singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles",6208220000,Number of items (p/st),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,17161,17161,0
22000,57132,Nicaragua,"6208 – Women's or girls' singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles",6208220000,Number of items (p/st),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,17161,17161,0
20491,57133,Nicaragua,"6208 – Women's or girls' singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles",6208910000,Number of items (p/st),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,1907,1907,0
22001,57133,Nicaragua,"6208 – Women's or girls' singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles",6208910000,Number of items (p/st),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,1907,1907,0
20492,57134,Nicaragua,"6208 – Women's or girls' singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles",6208920000,Number of items (p/st),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,1907,1907,0
22002,57134,Nicaragua,"6208 – Women's or girls' singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles",6208920000,Number of items (p/st),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,1907,1907,0
20493,57135,Nicaragua,"6212 – Brassières, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted",6212100000,Number of items (p/st),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,5720,5720,0
22003,57135,Nicaragua,"6212 – Brassières, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted",6212100000,Number of items (p/st),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,5720,5720,0
20494,57136,Nicaragua,"6212 – Brassières, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted",6212200000,Number of items (p/st),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,95340,95340,0
22004,57136,Nicaragua,"6212 – Brassières, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted",6212200000,Number of items (p/st),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,95340,95340,0
20495,57137,Nicaragua,"6212 – Brassières, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted",6212300000,Number of items (p/st),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,3814,3814,0
22005,57137,Nicaragua,"6212 – Brassières, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted",6212300000,Number of items (p/st),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,3814,3814,0
20496,57138,Nicaragua,"6212 – Brassières, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted",6212900000,Number of items (p/st),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,190680,190680,0
22006,57138,Nicaragua,"6212 – Brassières, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted",6212900000,Number of items (p/st),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,190680,190680,0
20000,57140,Colombia,"3920 – Other plates, sheets, film, foil and strip, of plastics, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",3920000000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,31/07/2021,#NA,#NA,Closed,11/01/2021,1193,1193,0
21084,57140,Colombia,"3920 – Other plates, sheets, film, foil and strip, of plastics, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",3920000000,"Tonne (1,000 kg)",#NA,#NA,01/08/2021,31/07/2022,#NA,#NA,Open,#NA,2043,2043,0
22753,57140,Colombia,"3920 – Other plates, sheets, film, foil and strip, of plastics, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",3920000000,"Tonne (1,000 kg)",#NA,#NA,01/08/2022,31/07/2023,#NA,#NA,Future,#NA,2043,#NA,0
22754,57140,Colombia,"3920 – Other plates, sheets, film, foil and strip, of plastics, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",3920000000,"Tonne (1,000 kg)",#NA,#NA,01/08/2023,31/07/2024,#NA,#NA,Future,#NA,2043,#NA,0
20001,57141,Colombia,"6108 – Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted",6108220000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,31/07/2021,#NA,#NA,Closed,11/01/2021,16,16,0
21085,57141,Colombia,"6108 – Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted",6108220000,"Tonne (1,000 kg)",#NA,#NA,01/08/2021,31/07/2022,#NA,#NA,Open,#NA,27,27,0
22841,57141,Colombia,"6108 – Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted",6108220000,"Tonne (1,000 kg)",#NA,#NA,01/08/2022,31/07/2023,#NA,#NA,Future,#NA,27,#NA,0
22842,57141,Colombia,"6108 – Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted",6108220000,"Tonne (1,000 kg)",#NA,#NA,01/08/2023,31/07/2024,#NA,#NA,Future,#NA,27,#NA,0
20002,57142,Colombia,"6112 – Tracksuits, ski suits and swimwear, knitted or crocheted",6112310000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,31/07/2021,#NA,#NA,Closed,11/01/2021,2,2,0
21086,57142,Colombia,"6112 – Tracksuits, ski suits and swimwear, knitted or crocheted",6112310000,"Tonne (1,000 kg)",#NA,#NA,01/08/2021,31/07/2022,#NA,#NA,Open,#NA,3,3,0
22869,57142,Colombia,"6112 – Tracksuits, ski suits and swimwear, knitted or crocheted",6112310000,"Tonne (1,000 kg)",#NA,#NA,01/08/2022,31/07/2023,#NA,#NA,Future,#NA,3,#NA,0
22870,57142,Colombia,"6112 – Tracksuits, ski suits and swimwear, knitted or crocheted",6112310000,"Tonne (1,000 kg)",#NA,#NA,01/08/2023,31/07/2024,#NA,#NA,Future,#NA,3,#NA,0
20003,57143,Colombia,"6112 – Tracksuits, ski suits and swimwear, knitted or crocheted",6112410000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,31/07/2021,#NA,#NA,Closed,11/01/2021,8,8,0
21087,57143,Colombia,"6112 – Tracksuits, ski suits and swimwear, knitted or crocheted",6112410000,"Tonne (1,000 kg)",#NA,#NA,01/08/2021,31/07/2022,#NA,#NA,Open,#NA,14,14,0
22875,57143,Colombia,"6112 – Tracksuits, ski suits and swimwear, knitted or crocheted",6112410000,"Tonne (1,000 kg)",#NA,#NA,01/08/2022,31/07/2023,#NA,#NA,Future,#NA,14,#NA,0
22876,57143,Colombia,"6112 – Tracksuits, ski suits and swimwear, knitted or crocheted",6112410000,"Tonne (1,000 kg)",#NA,#NA,01/08/2023,31/07/2024,#NA,#NA,Future,#NA,14,#NA,0
20004,57144,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115100000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,31/07/2021,#NA,#NA,Closed,11/01/2021,2,2,0
21088,57144,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115100000,"Tonne (1,000 kg)",#NA,#NA,01/08/2021,31/07/2022,#NA,#NA,Open,#NA,3,3,0
22899,57144,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115100000,"Tonne (1,000 kg)",#NA,#NA,01/08/2022,31/07/2023,#NA,#NA,Future,#NA,3,#NA,0
22900,57144,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115100000,"Tonne (1,000 kg)",#NA,#NA,01/08/2023,31/07/2024,#NA,#NA,Future,#NA,3,#NA,0
20005,57145,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115210000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,31/07/2021,#NA,#NA,Closed,11/01/2021,3,3,0
21089,57145,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115210000,"Tonne (1,000 kg)",#NA,#NA,01/08/2021,31/07/2022,#NA,#NA,Open,#NA,5,5,0
22905,57145,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115210000,"Tonne (1,000 kg)",#NA,#NA,01/08/2022,31/07/2023,#NA,#NA,Future,#NA,5,#NA,0
22906,57145,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115210000,"Tonne (1,000 kg)",#NA,#NA,01/08/2023,31/07/2024,#NA,#NA,Future,#NA,5,#NA,0
20006,57146,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115220000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,31/07/2021,#NA,#NA,Closed,11/01/2021,1,1,0
21090,57146,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115220000,"Tonne (1,000 kg)",#NA,#NA,01/08/2021,31/07/2022,#NA,#NA,Open,#NA,2,2,0
22911,57146,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115220000,"Tonne (1,000 kg)",#NA,#NA,01/08/2022,31/07/2023,#NA,#NA,Future,#NA,2,#NA,0
22912,57146,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115220000,"Tonne (1,000 kg)",#NA,#NA,01/08/2023,31/07/2024,#NA,#NA,Future,#NA,2,#NA,0
20007,57147,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115300000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,31/07/2021,#NA,#NA,Closed,11/01/2021,2,2,0
21091,57147,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115300000,"Tonne (1,000 kg)",#NA,#NA,01/08/2021,31/07/2022,#NA,#NA,Open,#NA,3,3,0
22917,57147,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115300000,"Tonne (1,000 kg)",#NA,#NA,01/08/2022,31/07/2023,#NA,#NA,Future,#NA,3,#NA,0
22918,57147,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115300000,"Tonne (1,000 kg)",#NA,#NA,01/08/2023,31/07/2024,#NA,#NA,Future,#NA,3,#NA,0
20008,57148,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115960000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,31/07/2021,#NA,#NA,Closed,11/01/2021,14,14,0
21092,57148,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115960000,"Tonne (1,000 kg)",#NA,#NA,01/08/2021,31/07/2022,#NA,#NA,Open,#NA,24,24,0
22923,57148,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115960000,"Tonne (1,000 kg)",#NA,#NA,01/08/2022,31/07/2023,#NA,#NA,Future,#NA,24,#NA,0
22924,57148,Colombia,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115960000,"Tonne (1,000 kg)",#NA,#NA,01/08/2023,31/07/2024,#NA,#NA,Future,#NA,24,#NA,0
20009,57161,Colombia,"7321 – Stoves, ranges, grates, cookers (including those with subsidiary boilers for central heating), barbecues, braziers, gas rings, plate warmers and similar non-electric domestic appliances, and parts thereof, of iron or steel",7321000000,Number of items (p/st),#NA,#NA,01/01/2021,31/07/2021,#NA,#NA,Closed,11/01/2021,1589,1589,0
21093,57161,Colombia,"7321 – Stoves, ranges, grates, cookers (including those with subsidiary boilers for central heating), barbecues, braziers, gas rings, plate warmers and similar non-electric domestic appliances, and parts thereof, of iron or steel",7321000000,Number of items (p/st),#NA,#NA,01/08/2021,31/07/2022,#NA,#NA,Open,#NA,2724,2724,0
23025,57161,Colombia,"7321 – Stoves, ranges, grates, cookers (including those with subsidiary boilers for central heating), barbecues, braziers, gas rings, plate warmers and similar non-electric domestic appliances, and parts thereof, of iron or steel",7321000000,Number of items (p/st),#NA,#NA,01/08/2022,31/07/2023,#NA,#NA,Future,#NA,2724,#NA,0
23026,57161,Colombia,"7321 – Stoves, ranges, grates, cookers (including those with subsidiary boilers for central heating), barbecues, braziers, gas rings, plate warmers and similar non-electric domestic appliances, and parts thereof, of iron or steel",7321000000,Number of items (p/st),#NA,#NA,01/08/2023,31/07/2024,#NA,#NA,Future,#NA,2724,#NA,0
20010,57162,Colombia,"7323 – Table, kitchen or other household articles and parts thereof, of iron or steel; iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron or steel",7323000000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,31/07/2021,#NA,#NA,Closed,11/01/2021,3973,3973,0
21094,57162,Colombia,"7323 – Table, kitchen or other household articles and parts thereof, of iron or steel; iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron or steel",7323000000,"Tonne (1,000 kg)",#NA,#NA,01/08/2021,31/07/2022,#NA,#NA,Open,#NA,6810,6810,0
23031,57162,Colombia,"7323 – Table, kitchen or other household articles and parts thereof, of iron or steel; iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron or steel",7323000000,"Tonne (1,000 kg)",#NA,#NA,01/08/2022,31/07/2023,#NA,#NA,Future,#NA,6810,#NA,0
23032,57162,Colombia,"7323 – Table, kitchen or other household articles and parts thereof, of iron or steel; iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron or steel",7323000000,"Tonne (1,000 kg)",#NA,#NA,01/08/2023,31/07/2024,#NA,#NA,Future,#NA,6810,#NA,0
20011,57163,Colombia,7325 – Other cast articles of iron or steel,7325000000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,31/07/2021,#NA,#NA,Closed,11/01/2021,3973,3973,0
21095,57163,Colombia,7325 – Other cast articles of iron or steel,7325000000,"Tonne (1,000 kg)",#NA,#NA,01/08/2021,31/07/2022,#NA,#NA,Open,#NA,6810,6810,0
23037,57163,Colombia,7325 – Other cast articles of iron or steel,7325000000,"Tonne (1,000 kg)",#NA,#NA,01/08/2022,31/07/2023,#NA,#NA,Future,#NA,6810,#NA,0
23038,57163,Colombia,7325 – Other cast articles of iron or steel,7325000000,"Tonne (1,000 kg)",#NA,#NA,01/08/2023,31/07/2024,#NA,#NA,Future,#NA,6810,#NA,0
20042,57170,Peru,"3920 – Other plates, sheets, film, foil and strip, of plastics, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",3920000000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,28/02/2021,#NA,#NA,Closed,11/01/2021,341,341,0
21096,57170,Peru,"3920 – Other plates, sheets, film, foil and strip, of plastics, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",3920000000,"Tonne (1,000 kg)",#NA,#NA,01/03/2021,28/02/2022,#NA,#NA,Closed,#NA,2043,2043,0
22757,57170,Peru,"3920 – Other plates, sheets, film, foil and strip, of plastics, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",3920000000,"Tonne (1,000 kg)",#NA,#NA,01/03/2022,28/02/2023,#NA,#NA,Open,#NA,2043,2043,0
22758,57170,Peru,"3920 – Other plates, sheets, film, foil and strip, of plastics, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",3920000000,"Tonne (1,000 kg)",#NA,#NA,01/03/2023,28/02/2024,#NA,#NA,Future,#NA,2043,#NA,0
20043,57171,Peru,"5607 – Twine, cordage, ropes and cables, whether or not plaited or braided and whether or not impregnated, coated, covered or sheathed with rubber or plastics|5608 – Knotted netting of twine, cordage or rope; made-up fishing nets and other made-up nets, of textile materials",5607501110|5607501910|5607503010|5607509091|5608000000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,28/02/2021,#NA,#NA,Closed,11/01/2021,18,18,0
21097,57171,Peru,"5607 – Twine, cordage, ropes and cables, whether or not plaited or braided and whether or not impregnated, coated, covered or sheathed with rubber or plastics|5608 – Knotted netting of twine, cordage or rope; made-up fishing nets and other made-up nets, of textile materials",5607501110|5607501910|5607503010|5607509091|5608000000,"Tonne (1,000 kg)",#NA,#NA,01/03/2021,28/02/2022,#NA,#NA,Closed,#NA,108,108,0
22783,57171,Peru,"5607 – Twine, cordage, ropes and cables, whether or not plaited or braided and whether or not impregnated, coated, covered or sheathed with rubber or plastics|5608 – Knotted netting of twine, cordage or rope; made-up fishing nets and other made-up nets, of textile materials",5607501110|5607501910|5607503010|5607509091|5608000000,"Tonne (1,000 kg)",#NA,#NA,01/03/2022,28/02/2023,#NA,#NA,Open,#NA,108,108,0
22784,57171,Peru,"5607 – Twine, cordage, ropes and cables, whether or not plaited or braided and whether or not impregnated, coated, covered or sheathed with rubber or plastics|5608 – Knotted netting of twine, cordage or rope; made-up fishing nets and other made-up nets, of textile materials",5607501110|5607501910|5607503010|5607509091|5608000000,"Tonne (1,000 kg)",#NA,#NA,01/03/2023,28/02/2024,#NA,#NA,Future,#NA,108,#NA,0
20044,57172,Peru,"6108 – Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted",6108220000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,28/02/2021,#NA,#NA,Closed,11/01/2021,5,5,0
21098,57172,Peru,"6108 – Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted",6108220000,"Tonne (1,000 kg)",#NA,#NA,01/03/2021,28/02/2022,#NA,#NA,Closed,#NA,27,27,0
22845,57172,Peru,"6108 – Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted",6108220000,"Tonne (1,000 kg)",#NA,#NA,01/03/2022,28/02/2023,#NA,#NA,Open,#NA,27,27,0
22846,57172,Peru,"6108 – Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted",6108220000,"Tonne (1,000 kg)",#NA,#NA,01/03/2023,28/02/2024,#NA,#NA,Future,#NA,27,#NA,0
20045,57173,Peru,"6112 – Tracksuits, ski suits and swimwear, knitted or crocheted",6112310000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,28/02/2021,#NA,#NA,Closed,11/01/2021,1,1,0
21099,57173,Peru,"6112 – Tracksuits, ski suits and swimwear, knitted or crocheted",6112310000,"Tonne (1,000 kg)",#NA,#NA,01/03/2021,28/02/2022,#NA,#NA,Closed,#NA,3,3,0
22873,57173,Peru,"6112 – Tracksuits, ski suits and swimwear, knitted or crocheted",6112310000,"Tonne (1,000 kg)",#NA,#NA,01/03/2022,28/02/2023,#NA,#NA,Open,#NA,3,3,0
22874,57173,Peru,"6112 – Tracksuits, ski suits and swimwear, knitted or crocheted",6112310000,"Tonne (1,000 kg)",#NA,#NA,01/03/2023,28/02/2024,#NA,#NA,Future,#NA,3,#NA,0
20046,57174,Peru,"6112 – Tracksuits, ski suits and swimwear, knitted or crocheted",6112410000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,28/02/2021,#NA,#NA,Closed,11/01/2021,2,2,0
21100,57174,Peru,"6112 – Tracksuits, ski suits and swimwear, knitted or crocheted",6112410000,"Tonne (1,000 kg)",#NA,#NA,01/03/2021,28/02/2022,#NA,#NA,Closed,#NA,14,14,0
22879,57174,Peru,"6112 – Tracksuits, ski suits and swimwear, knitted or crocheted",6112410000,"Tonne (1,000 kg)",#NA,#NA,01/03/2022,28/02/2023,#NA,#NA,Open,#NA,14,14,0
22880,57174,Peru,"6112 – Tracksuits, ski suits and swimwear, knitted or crocheted",6112410000,"Tonne (1,000 kg)",#NA,#NA,01/03/2023,28/02/2024,#NA,#NA,Future,#NA,14,#NA,0
20047,57175,Peru,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115100000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,28/02/2021,#NA,#NA,Closed,11/01/2021,1,1,0
21101,57175,Peru,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115100000,"Tonne (1,000 kg)",#NA,#NA,01/03/2021,28/02/2022,#NA,#NA,Closed,#NA,3,3,0
22903,57175,Peru,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115100000,"Tonne (1,000 kg)",#NA,#NA,01/03/2022,28/02/2023,#NA,#NA,Open,#NA,3,3,0
22904,57175,Peru,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115100000,"Tonne (1,000 kg)",#NA,#NA,01/03/2023,28/02/2024,#NA,#NA,Future,#NA,3,#NA,0
20048,57176,Peru,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115210000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,28/02/2021,#NA,#NA,Closed,11/01/2021,1,1,0
21102,57176,Peru,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115210000,"Tonne (1,000 kg)",#NA,#NA,01/03/2021,28/02/2022,#NA,#NA,Closed,#NA,5,5,0
22909,57176,Peru,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115210000,"Tonne (1,000 kg)",#NA,#NA,01/03/2022,28/02/2023,#NA,#NA,Open,#NA,5,5,0
22910,57176,Peru,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115210000,"Tonne (1,000 kg)",#NA,#NA,01/03/2023,28/02/2024,#NA,#NA,Future,#NA,5,#NA,0
20049,57177,Peru,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115220000,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,28/02/2021,#NA,#NA,Closed,11/01/2021,1,1,0
21103,57177,Peru,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115220000,"Tonne (1,000 kg)",#NA,#NA,01/03/2021,28/02/2022,#NA,#NA,Closed,#NA,2,2,0
22915,57177,Peru,"6115 – Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted",6115220000,"Tonne (1,000 kg)",#NA,#NA,01/03/2022,28/02/2023,#NA,#NA,Open,#NA,2,2,0
